         SolutionId            SourceId          Description
8022076041857990769 5168711154659734144 2MASSJ03302916-0651310
8022076041857990769 725732443755831552 SDSSJ102207.49+235532.0
8022076041857990769 3266107914603621376 SDSSJ031750.12+002057.3
8022076041857990769 697082572350057472 SDSSJ093150.03+293543.2
8022076041857990769 1551942696758307840 SDSSJ133226.15+471212.3
8022076041857990769 1405418066389681152 2MASSJ16292848+4257140
8022076041857990769 1574041712245030272 SDSSJ122730.34+550016.9
8022076041857990769 762704930988512768 2MASSJ10595150+3621384
8022076041857990769 874814400731558272 2MASSJ07571202+2821424
8022076041857990769 655239282965960064 SDSSJ080403.97+162420.9
8022076041857990769 3878798537115031424 SDSSJ094951.39+085104.1
8022076041857990769 1048936669879317248 SDSSJ103721.23+613135.4
8022076041857990769 766820128134275200 SDSSJ113136.50+375614.8
8022076041857990769 4424138063765259648 SDSSJ154032.62+025628.5
8022076041857990769 597882709146703744 SDSSJ084328.05+085013.5
8022076041857990769 748329920262131328 SDSSJ103846.56+323338.7
8022076041857990769 3816653457012622720 SDSSJ110116.50+062300.7
8022076041857990769 1026744681234639360 SDSSJ093814.40+595208.8
8022076041857990769 2536026524403299200 GALEX2502490801344361910
8022076041857990769 1310249287691222144 SDSSJ170600.72+313908.1
8022076041857990769 1583606466975068800 SDSSJ123524.09+622742.6
8022076041857990769 2546897705105079168 SDSSJ002209.00+004827.0
8022076041857990769 595860363666486272 SDSSJ083539.84+073155.9
8022076041857990769 650615664772609024 SDSSJ081150.02+133416.3
8022076041857990769 5177560535339861504 2MASSJ02432709-0735025
8022076041857990769 1012030295078382080 SDSSJ091503.48+482918.5
8022076041857990769 855580128431296256 SDSSJ104644.88+592550.0
8022076041857990769 718713814358937344 SDSSJ085733.21+371946.6
8022076041857990769 862198535595197952 SDSSJ110819.23+614250.4
8022076041857990769 722811453677068672 SDSSJ102909.85+241219.4
8022076041857990769 895858331733976960 2MASSJ07455401+3720060
8022076041857990769 802941116626179456 SDSSJ100454.32+383445.5
8022076041857990769 1514353074263702144 SDSSJ123838.88+313543.8
8022076041857990769 1038997703239750272 SDSSJ092102.61+601627.0
8022076041857990769 3942469782305011584 SDSSJ125521.45+203112.0
8022076041857990769 719348404368610944 SDSSJ090719.54+391626.3
8022076041857990769 750174832054437120 SDSSJ104035.99+340351.2
8022076041857990769 3847212870878262016 2MASSJ09402967+0132351
8022076041857990769 1672210572843980672 SDSSJ134734.71+663758.6
8022076041857990769 3659769361231606400 SDSSJ140904.66-004412.0
8022076041857990769 658787853664978176 SDSSJ083127.31+164429.8
8022076041857990769 732042712785917824 SDSSJ110746.94+285024.1
8022076041857990769 720190046160094976 SDSSJ090404.45+395510.0
8022076041857990769 3809194090957871616 SDSSJ104937.62+024821.0
8022076041857990769 3930814645518544000 2MASSJ12482161+1414090
8022076041857990769 1301201814528853888 SDSSJ164307.63+255416.5
